#    L    TT             EE             BB             TE          
   250   0.546039E+04   0.238619E+01   0.224864E-01   0.633003E+02
   251   0.544251E+04   0.246830E+01   0.226613E-01   0.649199E+02
   252   0.542409E+04   0.255263E+01   0.228360E-01   0.665288E+02
   253   0.540515E+04   0.263920E+01   0.230106E-01   0.681263E+02
   254   0.538568E+04   0.272801E+01   0.231851E-01   0.697114E+02
   255   0.536569E+04   0.281906E+01   0.233594E-01   0.712835E+02
   256   0.534518E+04   0.291236E+01   0.235335E-01   0.728419E+02
   257   0.532416E+04   0.300791E+01   0.237073E-01   0.743858E+02
   258   0.530265E+04   0.310570E+01   0.238810E-01   0.759144E+02
   259   0.528065E+04   0.320576E+01   0.240543E-01   0.774279E+02
   260   0.525819E+04   0.330806E+01   0.242274E-01   0.789243E+02
   261   0.523526E+04   0.341261E+01   0.244002E-01   0.804042E+02
   262   0.521189E+04   0.351941E+01   0.245727E-01   0.818663E+02
   263   0.518809E+04   0.362846E+01   0.247449E-01   0.833104E+02
   264   0.516386E+04   0.373974E+01   0.249167E-01   0.847351E+02
   265   0.513921E+04   0.385326E+01   0.250882E-01   0.861412E+02
   266   0.511414E+04   0.396899E+01   0.252593E-01   0.875264E+02
   267   0.508866E+04   0.408692E+01   0.254299E-01   0.888900E+02
   268   0.506278E+04   0.420704E+01   0.256002E-01   0.902328E+02
   269   0.503649E+04   0.432935E+01   0.257701E-01   0.915525E+02
   270   0.500981E+04   0.445383E+01   0.259395E-01   0.928499E+02
   271   0.498276E+04   0.458046E+01   0.261084E-01   0.941228E+02
   272   0.495532E+04   0.470923E+01   0.262769E-01   0.953719E+02
   273   0.492753E+04   0.484010E+01   0.264449E-01   0.965957E+02
   274   0.489938E+04   0.497308E+01   0.266124E-01   0.977951E+02
   275   0.487089E+04   0.510812E+01   0.267794E-01   0.989677E+02
   276   0.484208E+04   0.524522E+01   0.269459E-01   0.100114E+03
   277   0.481294E+04   0.538436E+01   0.271119E-01   0.101234E+03
   278   0.478349E+04   0.552551E+01   0.272773E-01   0.102325E+03
   279   0.475375E+04   0.566863E+01   0.274422E-01   0.103388E+03
   280   0.472371E+04   0.581370E+01   0.276065E-01   0.104423E+03
   281   0.469339E+04   0.596070E+01   0.277702E-01   0.105429E+03
   282   0.466280E+04   0.610957E+01   0.279334E-01   0.106405E+03
   283   0.463196E+04   0.626031E+01   0.280960E-01   0.107351E+03
   284   0.460086E+04   0.641289E+01   0.282579E-01   0.108265E+03
   285   0.456952E+04   0.656725E+01   0.284193E-01   0.109149E+03
   286   0.453795E+04   0.672338E+01   0.285801E-01   0.110001E+03
   287   0.450617E+04   0.688122E+01   0.287402E-01   0.110822E+03
   288   0.447418E+04   0.704075E+01   0.288997E-01   0.111610E+03
   289   0.444198E+04   0.720193E+01   0.290586E-01   0.112365E+03
   290   0.440960E+04   0.736471E+01   0.292168E-01   0.113087E+03
   291   0.437705E+04   0.752908E+01   0.293744E-01   0.113775E+03
   292   0.434433E+04   0.769490E+01   0.295314E-01   0.114430E+03
   293   0.431145E+04   0.786224E+01   0.296877E-01   0.115050E+03
   294   0.427842E+04   0.803104E+01   0.298433E-01   0.115635E+03
   295   0.424525E+04   0.820113E+01   0.299983E-01   0.116186E+03
   296   0.421195E+04   0.837261E+01   0.301526E-01   0.116700E+03
   297   0.417852E+04   0.854531E+01   0.303062E-01   0.117178E+03
   298   0.414499E+04   0.871924E+01   0.304591E-01   0.117620E+03
   299   0.411135E+04   0.889432E+01   0.306114E-01   0.118026E+03
   300   0.407763E+04   0.907048E+01   0.307629E-01   0.118395E+03
