#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2340   0.108912E+03  -0.967597E+01   0.342490E-06  -0.967597E+01   0.409748E+01   0.155731E-07   0.342490E-06   0.155731E-07   0.154674E-08
  2341   0.108934E+03  -0.963817E+01   0.350400E-06  -0.963817E+01   0.405998E+01   0.154090E-07   0.350400E-06   0.154090E-07   0.154553E-08
  2342   0.108954E+03  -0.959881E+01   0.358381E-06  -0.959881E+01   0.402265E+01   0.152394E-07   0.358381E-06   0.152394E-07   0.154432E-08
  2343   0.108971E+03  -0.955797E+01   0.366422E-06  -0.955797E+01   0.398553E+01   0.150643E-07   0.366422E-06   0.150643E-07   0.154312E-08
  2344   0.108985E+03  -0.951565E+01   0.374513E-06  -0.951565E+01   0.394859E+01   0.148835E-07   0.374513E-06   0.148835E-07   0.154191E-08
  2345   0.108996E+03  -0.947176E+01   0.382646E-06  -0.947176E+01   0.391188E+01   0.146968E-07   0.382646E-06   0.146968E-07   0.154071E-08
  2346   0.109005E+03  -0.942646E+01   0.390809E-06  -0.942646E+01   0.387537E+01   0.145042E-07   0.390809E-06   0.145042E-07   0.153950E-08
  2347   0.109010E+03  -0.937968E+01   0.398995E-06  -0.937968E+01   0.383909E+01   0.143055E-07   0.398995E-06   0.143055E-07   0.153830E-08
  2348   0.109012E+03  -0.933148E+01   0.407192E-06  -0.933148E+01   0.380305E+01   0.141006E-07   0.407192E-06   0.141006E-07   0.153710E-08
  2349   0.109010E+03  -0.928188E+01   0.415392E-06  -0.928188E+01   0.376725E+01   0.138893E-07   0.415392E-06   0.138893E-07   0.153590E-08
  2350   0.109005E+03  -0.923094E+01   0.423584E-06  -0.923094E+01   0.373172E+01   0.136716E-07   0.423584E-06   0.136716E-07   0.153471E-08
  2351   0.108997E+03  -0.917859E+01   0.431759E-06  -0.917859E+01   0.369644E+01   0.134474E-07   0.431759E-06   0.134474E-07   0.153351E-08
  2352   0.108986E+03  -0.912497E+01   0.439903E-06  -0.912497E+01   0.366144E+01   0.132172E-07   0.439903E-06   0.132172E-07   0.153232E-08
  2353   0.108971E+03  -0.907002E+01   0.448000E-06  -0.907002E+01   0.362672E+01   0.129816E-07   0.448000E-06   0.129816E-07   0.153112E-08
  2354   0.108952E+03  -0.901388E+01   0.456037E-06  -0.901388E+01   0.359230E+01   0.127413E-07   0.456037E-06   0.127413E-07   0.152993E-08
  2355   0.108930E+03  -0.895641E+01   0.463999E-06  -0.895641E+01   0.355817E+01   0.124968E-07   0.463999E-06   0.124968E-07   0.152874E-08
  2356   0.108903E+03  -0.889775E+01   0.471872E-06  -0.889775E+01   0.352437E+01   0.122488E-07   0.471872E-06   0.122488E-07   0.152755E-08
  2357   0.108874E+03  -0.883797E+01   0.479640E-06  -0.883797E+01   0.349088E+01   0.119978E-07   0.479640E-06   0.119978E-07   0.152636E-08
  2358   0.108840E+03  -0.877701E+01   0.487290E-06  -0.877701E+01   0.345772E+01   0.117446E-07   0.487290E-06   0.117446E-07   0.152518E-08
  2359   0.108803E+03  -0.871494E+01   0.494807E-06  -0.871494E+01   0.342489E+01   0.114896E-07   0.494807E-06   0.114896E-07   0.152399E-08
  2360   0.108762E+03  -0.865168E+01   0.502177E-06  -0.865168E+01   0.339241E+01   0.112336E-07   0.502177E-06   0.112336E-07   0.152281E-08
  2361   0.108717E+03  -0.858745E+01   0.509384E-06  -0.858745E+01   0.336027E+01   0.109770E-07   0.509384E-06   0.109770E-07   0.152162E-08
  2362   0.108668E+03  -0.852211E+01   0.516415E-06  -0.852211E+01   0.332849E+01   0.107207E-07   0.516415E-06   0.107207E-07   0.152044E-08
  2363   0.108614E+03  -0.845581E+01   0.523255E-06  -0.845581E+01   0.329707E+01   0.104650E-07   0.523255E-06   0.104650E-07   0.151926E-08
  2364   0.108557E+03  -0.838847E+01   0.529889E-06  -0.838847E+01   0.326602E+01   0.102107E-07   0.529889E-06   0.102107E-07   0.151808E-08
  2365   0.108495E+03  -0.832024E+01   0.536303E-06  -0.832024E+01   0.323535E+01   0.995844E-08   0.536303E-06   0.995844E-08   0.151691E-08
  2366   0.108430E+03  -0.825104E+01   0.542482E-06  -0.825104E+01   0.320506E+01   0.970873E-08   0.542482E-06   0.970873E-08   0.151573E-08
  2367   0.108360E+03  -0.818096E+01   0.548412E-06  -0.818096E+01   0.317516E+01   0.946223E-08   0.548412E-06   0.946223E-08   0.151455E-08
  2368   0.108286E+03  -0.810998E+01   0.554078E-06  -0.810998E+01   0.314565E+01   0.921954E-08   0.554078E-06   0.921954E-08   0.151338E-08
  2369   0.108208E+03  -0.803827E+01   0.559466E-06  -0.803827E+01   0.311655E+01   0.898127E-08   0.559466E-06   0.898127E-08   0.151221E-08
  2370   0.108125E+03  -0.796566E+01   0.564562E-06  -0.796566E+01   0.308786E+01   0.874805E-08   0.564562E-06   0.874805E-08   0.151104E-08
  2371   0.108038E+03  -0.789232E+01   0.569350E-06  -0.789232E+01   0.305959E+01   0.852049E-08   0.569350E-06   0.852049E-08   0.150987E-08
  2372   0.107947E+03  -0.781823E+01   0.573816E-06  -0.781823E+01   0.303173E+01   0.829918E-08   0.573816E-06   0.829918E-08   0.150870E-08
  2373   0.107852E+03  -0.774348E+01   0.577946E-06  -0.774348E+01   0.300430E+01   0.808476E-08   0.577946E-06   0.808476E-08   0.150753E-08
  2374   0.107752E+03  -0.766806E+01   0.581725E-06  -0.766806E+01   0.297730E+01   0.787783E-08   0.581725E-06   0.787783E-08   0.150637E-08
  2375   0.107648E+03  -0.759198E+01   0.585139E-06  -0.759198E+01   0.295074E+01   0.767901E-08   0.585139E-06   0.767901E-08   0.150520E-08
  2376   0.107539E+03  -0.751530E+01   0.588173E-06  -0.751530E+01   0.292461E+01   0.748890E-08   0.588173E-06   0.748890E-08   0.150404E-08
  2377   0.107426E+03  -0.743803E+01   0.590812E-06  -0.743803E+01   0.289894E+01   0.730813E-08   0.590812E-06   0.730813E-08   0.150288E-08
  2378   0.107309E+03  -0.736021E+01   0.593043E-06  -0.736021E+01   0.287371E+01   0.713729E-08   0.593043E-06   0.713729E-08   0.150172E-08
  2379   0.107187E+03  -0.728190E+01   0.594851E-06  -0.728190E+01   0.284894E+01   0.697702E-08   0.594851E-06   0.697702E-08   0.150056E-08
  2380   0.107062E+03  -0.720310E+01   0.596220E-06  -0.720310E+01   0.282462E+01   0.682791E-08   0.596220E-06   0.682791E-08   0.149940E-08
  2381   0.106931E+03  -0.712386E+01   0.597137E-06  -0.712386E+01   0.280077E+01   0.669059E-08   0.597137E-06   0.669059E-08   0.149824E-08
  2382   0.106796E+03  -0.704420E+01   0.597587E-06  -0.704420E+01   0.277738E+01   0.656566E-08   0.597587E-06   0.656566E-08   0.149709E-08
  2383   0.106656E+03  -0.696415E+01   0.597555E-06  -0.696415E+01   0.275445E+01   0.645373E-08   0.597555E-06   0.645373E-08   0.149593E-08
  2384   0.106512E+03  -0.688374E+01   0.597028E-06  -0.688374E+01   0.273201E+01   0.635543E-08   0.597028E-06   0.635543E-08   0.149478E-08
  2385   0.106364E+03  -0.680301E+01   0.595989E-06  -0.680301E+01   0.271003E+01   0.627136E-08   0.595989E-06   0.627136E-08   0.149363E-08
  2386   0.106211E+03  -0.672199E+01   0.594426E-06  -0.672199E+01   0.268854E+01   0.620214E-08   0.594426E-06   0.620214E-08   0.149248E-08
  2387   0.106054E+03  -0.664071E+01   0.592324E-06  -0.664071E+01   0.266752E+01   0.614838E-08   0.592324E-06   0.614838E-08   0.149133E-08
  2388   0.105893E+03  -0.655921E+01   0.589667E-06  -0.655921E+01   0.264699E+01   0.611069E-08   0.589667E-06   0.611069E-08   0.149018E-08
  2389   0.105727E+03  -0.647753E+01   0.586442E-06  -0.647753E+01   0.262695E+01   0.608968E-08   0.586442E-06   0.608968E-08   0.148903E-08
  2390   0.105557E+03  -0.639568E+01   0.582633E-06  -0.639568E+01   0.260739E+01   0.608597E-08   0.582633E-06   0.608597E-08   0.148789E-08
  2391   0.105382E+03  -0.631372E+01   0.578227E-06  -0.631372E+01   0.258833E+01   0.610018E-08   0.578227E-06   0.610018E-08   0.148674E-08
  2392   0.105204E+03  -0.623167E+01   0.573209E-06  -0.623167E+01   0.256976E+01   0.613290E-08   0.573209E-06   0.613290E-08   0.148560E-08
  2393   0.105020E+03  -0.614956E+01   0.567564E-06  -0.614956E+01   0.255168E+01   0.618476E-08   0.567564E-06   0.618476E-08   0.148446E-08
  2394   0.104833E+03  -0.606742E+01   0.561278E-06  -0.606742E+01   0.253411E+01   0.625637E-08   0.561278E-06   0.625637E-08   0.148332E-08
  2395   0.104642E+03  -0.598528E+01   0.554336E-06  -0.598528E+01   0.251703E+01   0.634834E-08   0.554336E-06   0.634834E-08   0.148218E-08
  2396   0.104446E+03  -0.590317E+01   0.546724E-06  -0.590317E+01   0.250044E+01   0.646129E-08   0.546724E-06   0.646129E-08   0.148104E-08
  2397   0.104247E+03  -0.582112E+01   0.538427E-06  -0.582112E+01   0.248436E+01   0.659582E-08   0.538427E-06   0.659582E-08   0.147991E-08
  2398   0.104042E+03  -0.573916E+01   0.529431E-06  -0.573916E+01   0.246877E+01   0.675256E-08   0.529431E-06   0.675256E-08   0.147877E-08
  2399   0.103834E+03  -0.565731E+01   0.519721E-06  -0.565731E+01   0.245369E+01   0.693211E-08   0.519721E-06   0.693211E-08   0.147764E-08
  2400   0.103622E+03  -0.557562E+01   0.509283E-06  -0.557562E+01   0.243910E+01   0.713508E-08   0.509283E-06   0.713508E-08   0.147650E-08
  2401   0.103405E+03  -0.549411E+01   0.498111E-06  -0.549411E+01   0.242501E+01   0.736170E-08   0.498111E-06   0.736170E-08   0.147537E-08
  2402   0.103185E+03  -0.541281E+01   0.486238E-06  -0.541281E+01   0.241142E+01   0.761063E-08   0.486238E-06   0.761063E-08   0.147424E-08
  2403   0.102960E+03  -0.533175E+01   0.473707E-06  -0.533175E+01   0.239833E+01   0.788013E-08   0.473707E-06   0.788013E-08   0.147311E-08
  2404   0.102732E+03  -0.525096E+01   0.460558E-06  -0.525096E+01   0.238574E+01   0.816847E-08   0.460558E-06   0.816847E-08   0.147198E-08
  2405   0.102500E+03  -0.517046E+01   0.446833E-06  -0.517046E+01   0.237365E+01   0.847392E-08   0.446833E-06   0.847392E-08   0.147086E-08
  2406   0.102264E+03  -0.509029E+01   0.432575E-06  -0.509029E+01   0.236205E+01   0.879474E-08   0.432575E-06   0.879474E-08   0.146973E-08
  2407   0.102024E+03  -0.501049E+01   0.417826E-06  -0.501049E+01   0.235095E+01   0.912920E-08   0.417826E-06   0.912920E-08   0.146861E-08
  2408   0.101780E+03  -0.493105E+01   0.402626E-06  -0.493105E+01   0.234034E+01   0.947558E-08   0.402626E-06   0.947558E-08   0.146749E-08
  2409   0.101533E+03  -0.485202E+01   0.387019E-06  -0.485202E+01   0.233023E+01   0.983213E-08   0.387019E-06   0.983213E-08   0.146636E-08
  2410   0.101281E+03  -0.477344E+01   0.371045E-06  -0.477344E+01   0.232061E+01   0.101971E-07   0.371045E-06   0.101971E-07   0.146524E-08
  2411   0.101026E+03  -0.469530E+01   0.354747E-06  -0.469530E+01   0.231147E+01   0.105688E-07   0.354747E-06   0.105688E-07   0.146412E-08
  2412   0.100767E+03  -0.461766E+01   0.338166E-06  -0.461766E+01   0.230282E+01   0.109455E-07   0.338166E-06   0.109455E-07   0.146301E-08
  2413   0.100505E+03  -0.454053E+01   0.321345E-06  -0.454053E+01   0.229466E+01   0.113254E-07   0.321345E-06   0.113254E-07   0.146189E-08
  2414   0.100239E+03  -0.446394E+01   0.304325E-06  -0.446394E+01   0.228697E+01   0.117069E-07   0.304325E-06   0.117069E-07   0.146077E-08
  2415   0.999696E+02  -0.438792E+01   0.287148E-06  -0.438792E+01   0.227977E+01   0.120881E-07   0.287148E-06   0.120881E-07   0.145966E-08
  2416   0.996971E+02  -0.431249E+01   0.269856E-06  -0.431249E+01   0.227304E+01   0.124674E-07   0.269856E-06   0.124674E-07   0.145855E-08
  2417   0.994209E+02  -0.423768E+01   0.252491E-06  -0.423768E+01   0.226679E+01   0.128430E-07   0.252491E-06   0.128430E-07   0.145743E-08
  2418   0.991417E+02  -0.416352E+01   0.235095E-06  -0.416352E+01   0.226101E+01   0.132131E-07   0.235095E-06   0.132131E-07   0.145632E-08
  2419   0.988589E+02  -0.409002E+01   0.217709E-06  -0.409002E+01   0.225570E+01   0.135761E-07   0.217709E-06   0.135761E-07   0.145521E-08
  2420   0.985737E+02  -0.401722E+01   0.200375E-06  -0.401722E+01   0.225085E+01   0.139303E-07   0.200375E-06   0.139303E-07   0.145410E-08
  2421   0.982849E+02  -0.394513E+01   0.183135E-06  -0.394513E+01   0.224647E+01   0.142738E-07   0.183135E-06   0.142738E-07   0.145300E-08
  2422   0.979931E+02  -0.387378E+01   0.166032E-06  -0.387378E+01   0.224253E+01   0.146049E-07   0.166032E-06   0.146049E-07   0.145189E-08
  2423   0.976991E+02  -0.380319E+01   0.149106E-06  -0.380319E+01   0.223906E+01   0.149220E-07   0.149106E-06   0.149220E-07   0.145079E-08
  2424   0.974014E+02  -0.373338E+01   0.132401E-06  -0.373338E+01   0.223602E+01   0.152233E-07   0.132401E-06   0.152233E-07   0.144968E-08
  2425   0.971015E+02  -0.366437E+01   0.115956E-06  -0.366437E+01   0.223344E+01   0.155070E-07   0.115956E-06   0.155070E-07   0.144858E-08
  2426   0.967986E+02  -0.359619E+01   0.998154E-07  -0.359619E+01   0.223130E+01   0.157715E-07   0.998154E-07   0.157715E-07   0.144748E-08
  2427   0.964927E+02  -0.352885E+01   0.840199E-07  -0.352885E+01   0.222959E+01   0.160149E-07   0.840199E-07   0.160149E-07   0.144638E-08
  2428   0.961846E+02  -0.346237E+01   0.686114E-07  -0.346237E+01   0.222831E+01   0.162356E-07   0.686114E-07   0.162356E-07   0.144528E-08
  2429   0.958742E+02  -0.339678E+01   0.536320E-07  -0.339678E+01   0.222746E+01   0.164318E-07   0.536320E-07   0.164318E-07   0.144418E-08
  2430   0.955609E+02  -0.333209E+01   0.391234E-07  -0.333209E+01   0.222703E+01   0.166017E-07   0.391234E-07   0.166017E-07   0.144309E-08
  2431   0.952454E+02  -0.326832E+01   0.251275E-07  -0.326832E+01   0.222701E+01   0.167438E-07   0.251275E-07   0.167438E-07   0.144199E-08
  2432   0.949277E+02  -0.320550E+01   0.116861E-07  -0.320550E+01   0.222741E+01   0.168562E-07   0.116861E-07   0.168562E-07   0.144090E-08
  2433   0.946077E+02  -0.314364E+01  -0.115893E-08  -0.314364E+01   0.222821E+01   0.169371E-07  -0.115893E-08   0.169371E-07   0.143980E-08
  2434   0.942862E+02  -0.308275E+01  -0.133657E-07  -0.308275E+01   0.222942E+01   0.169849E-07  -0.133657E-07   0.169849E-07   0.143871E-08
  2435   0.939618E+02  -0.302286E+01  -0.248924E-07  -0.302286E+01   0.223102E+01   0.169979E-07  -0.248924E-07   0.169979E-07   0.143762E-08
  2436   0.936359E+02  -0.296398E+01  -0.356971E-07  -0.296398E+01   0.223301E+01   0.169742E-07  -0.356971E-07   0.169742E-07   0.143653E-08
  2437   0.933078E+02  -0.290612E+01  -0.457381E-07  -0.290612E+01   0.223538E+01   0.169122E-07  -0.457381E-07   0.169122E-07   0.143544E-08
  2438   0.929782E+02  -0.284931E+01  -0.549734E-07  -0.284931E+01   0.223813E+01   0.168101E-07  -0.549734E-07   0.168101E-07   0.143436E-08
  2439   0.926463E+02  -0.279355E+01  -0.633612E-07  -0.279355E+01   0.224125E+01   0.166662E-07  -0.633612E-07   0.166662E-07   0.143327E-08
  2440   0.923130E+02  -0.273886E+01  -0.708597E-07  -0.273886E+01   0.224474E+01   0.164788E-07  -0.708597E-07   0.164788E-07   0.143219E-08
  2441   0.919782E+02  -0.268526E+01  -0.774270E-07  -0.268526E+01   0.224859E+01   0.162461E-07  -0.774270E-07   0.162461E-07   0.143110E-08
  2442   0.916419E+02  -0.263275E+01  -0.830213E-07  -0.263275E+01   0.225279E+01   0.159664E-07  -0.830213E-07   0.159664E-07   0.143002E-08
  2443   0.913034E+02  -0.258136E+01  -0.876007E-07  -0.258136E+01   0.225733E+01   0.156379E-07  -0.876007E-07   0.156379E-07   0.142894E-08
  2444   0.909641E+02  -0.253109E+01  -0.911233E-07  -0.253109E+01   0.226222E+01   0.152590E-07  -0.911233E-07   0.152590E-07   0.142786E-08
  2445   0.906241E+02  -0.248196E+01  -0.935474E-07  -0.248196E+01   0.226745E+01   0.148279E-07  -0.935474E-07   0.148279E-07   0.142678E-08
  2446   0.902819E+02  -0.243397E+01  -0.948310E-07  -0.243397E+01   0.227299E+01   0.143428E-07  -0.948310E-07   0.143428E-07   0.142570E-08
  2447   0.899397E+02  -0.238715E+01  -0.949323E-07  -0.238715E+01   0.227887E+01   0.138021E-07  -0.949323E-07   0.138021E-07   0.142462E-08
  2448   0.895960E+02  -0.234149E+01  -0.938095E-07  -0.234149E+01   0.228505E+01   0.132040E-07  -0.938095E-07   0.132040E-07   0.142355E-08
  2449   0.892508E+02  -0.229701E+01  -0.914207E-07  -0.229701E+01   0.229154E+01   0.125467E-07  -0.914207E-07   0.125467E-07   0.142247E-08
  2450   0.889057E+02  -0.225372E+01  -0.877241E-07  -0.225372E+01   0.229833E+01   0.118286E-07  -0.877241E-07   0.118286E-07   0.142140E-08
  2451   0.885590E+02  -0.221162E+01  -0.826930E-07  -0.221162E+01   0.230542E+01   0.110486E-07  -0.826930E-07   0.110486E-07   0.142033E-08
  2452   0.882123E+02  -0.217073E+01  -0.763622E-07  -0.217073E+01   0.231278E+01   0.102091E-07  -0.763622E-07   0.102091E-07   0.141926E-08
  2453   0.878642E+02  -0.213105E+01  -0.687815E-07  -0.213105E+01   0.232043E+01   0.931302E-08  -0.687815E-07   0.931302E-08   0.141819E-08
  2454   0.875161E+02  -0.209261E+01  -0.600009E-07  -0.209261E+01   0.232835E+01   0.836338E-08  -0.600009E-07   0.836338E-08   0.141712E-08
  2455   0.871672E+02  -0.205538E+01  -0.500702E-07  -0.205538E+01   0.233653E+01   0.736322E-08  -0.500702E-07   0.736322E-08   0.141605E-08
  2456   0.868183E+02  -0.201939E+01  -0.390394E-07  -0.201939E+01   0.234496E+01   0.631554E-08  -0.390394E-07   0.631554E-08   0.141498E-08
  2457   0.864695E+02  -0.198464E+01  -0.269584E-07  -0.198464E+01   0.235364E+01   0.522336E-08  -0.269584E-07   0.522336E-08   0.141392E-08
  2458   0.861199E+02  -0.195114E+01  -0.138771E-07  -0.195114E+01   0.236257E+01   0.408971E-08  -0.138771E-07   0.408971E-08   0.141285E-08
  2459   0.857695E+02  -0.191888E+01   0.154584E-09  -0.191888E+01   0.237173E+01   0.291759E-08   0.154584E-09   0.291759E-08   0.141179E-08
  2460   0.854199E+02  -0.188788E+01   0.150868E-07  -0.188788E+01   0.238111E+01   0.171003E-08   0.150868E-07   0.171003E-08   0.141073E-08
  2461   0.850703E+02  -0.185814E+01   0.308695E-07  -0.185814E+01   0.239071E+01   0.470038E-09   0.308695E-07   0.470038E-09   0.140967E-08
  2462   0.847200E+02  -0.182965E+01   0.474529E-07  -0.182965E+01   0.240052E+01  -0.799362E-09   0.474529E-07  -0.799362E-09   0.140861E-08
  2463   0.843712E+02  -0.180243E+01   0.647870E-07  -0.180243E+01   0.241053E+01  -0.209515E-08   0.647870E-07  -0.209515E-08   0.140755E-08
  2464   0.840216E+02  -0.177647E+01   0.828219E-07  -0.177647E+01   0.242075E+01  -0.341432E-08   0.828219E-07  -0.341432E-08   0.140649E-08
  2465   0.836728E+02  -0.175178E+01   0.101508E-06  -0.175178E+01   0.243114E+01  -0.475385E-08   0.101508E-06  -0.475385E-08   0.140544E-08
  2466   0.833240E+02  -0.172835E+01   0.120795E-06  -0.172835E+01   0.244172E+01  -0.611072E-08   0.120795E-06  -0.611072E-08   0.140438E-08
  2467   0.829759E+02  -0.170619E+01   0.140633E-06  -0.170619E+01   0.245246E+01  -0.748191E-08   0.140633E-06  -0.748191E-08   0.140333E-08
  2468   0.826286E+02  -0.168529E+01   0.160972E-06  -0.168529E+01   0.246338E+01  -0.886441E-08   0.160972E-06  -0.886441E-08   0.140227E-08
  2469   0.822821E+02  -0.166565E+01   0.181762E-06  -0.166565E+01   0.247444E+01  -0.102552E-07   0.181762E-06  -0.102552E-07   0.140122E-08
  2470   0.819355E+02  -0.164728E+01   0.202954E-06  -0.164728E+01   0.248566E+01  -0.116513E-07   0.202954E-06  -0.116513E-07   0.140017E-08
  2471   0.815904E+02  -0.163017E+01   0.224497E-06  -0.163017E+01   0.249701E+01  -0.130496E-07   0.224497E-06  -0.130496E-07   0.139912E-08
  2472   0.812461E+02  -0.161431E+01   0.246341E-06  -0.161431E+01   0.250850E+01  -0.144471E-07   0.246341E-06  -0.144471E-07   0.139807E-08
  2473   0.809026E+02  -0.159971E+01   0.268438E-06  -0.159971E+01   0.252011E+01  -0.158409E-07   0.268438E-06  -0.158409E-07   0.139702E-08
  2474   0.805598E+02  -0.158636E+01   0.290736E-06  -0.158636E+01   0.253183E+01  -0.172279E-07   0.290736E-06  -0.172279E-07   0.139598E-08
  2475   0.802185E+02  -0.157427E+01   0.313185E-06  -0.157427E+01   0.254366E+01  -0.186051E-07   0.313185E-06  -0.186051E-07   0.139493E-08
  2476   0.798779E+02  -0.156342E+01   0.335737E-06  -0.156342E+01   0.255560E+01  -0.199694E-07   0.335737E-06  -0.199694E-07   0.139389E-08
  2477   0.795388E+02  -0.155380E+01   0.358341E-06  -0.155380E+01   0.256762E+01  -0.213179E-07   0.358341E-06  -0.213179E-07   0.139284E-08
  2478   0.792013E+02  -0.154542E+01   0.380946E-06  -0.154542E+01   0.257973E+01  -0.226475E-07   0.380946E-06  -0.226475E-07   0.139180E-08
  2479   0.788652E+02  -0.153825E+01   0.403504E-06  -0.153825E+01   0.259191E+01  -0.239552E-07   0.403504E-06  -0.239552E-07   0.139076E-08
  2480   0.785299E+02  -0.153232E+01   0.425964E-06  -0.153232E+01   0.260417E+01  -0.252381E-07   0.425964E-06  -0.252381E-07   0.138972E-08
  2481   0.781968E+02  -0.152758E+01   0.448276E-06  -0.152758E+01   0.261648E+01  -0.264930E-07   0.448276E-06  -0.264930E-07   0.138868E-08
  2482   0.778652E+02  -0.152405E+01   0.470391E-06  -0.152405E+01   0.262886E+01  -0.277170E-07   0.470391E-06  -0.277170E-07   0.138764E-08
  2483   0.775351E+02  -0.152171E+01   0.492258E-06  -0.152171E+01   0.264128E+01  -0.289070E-07   0.492258E-06  -0.289070E-07   0.138661E-08
  2484   0.772065E+02  -0.152056E+01   0.513827E-06  -0.152056E+01   0.265373E+01  -0.300601E-07   0.513827E-06  -0.300601E-07   0.138557E-08
  2485   0.768802E+02  -0.152060E+01   0.535050E-06  -0.152060E+01   0.266622E+01  -0.311732E-07   0.535050E-06  -0.311732E-07   0.138454E-08
  2486   0.765561E+02  -0.152180E+01   0.555875E-06  -0.152180E+01   0.267874E+01  -0.322432E-07   0.555875E-06  -0.322432E-07   0.138350E-08
  2487   0.762335E+02  -0.152415E+01   0.576253E-06  -0.152415E+01   0.269126E+01  -0.332673E-07   0.576253E-06  -0.332673E-07   0.138247E-08
  2488   0.759131E+02  -0.152767E+01   0.596133E-06  -0.152767E+01   0.270380E+01  -0.342423E-07   0.596133E-06  -0.342423E-07   0.138144E-08
  2489   0.755942E+02  -0.153233E+01   0.615467E-06  -0.153233E+01   0.271633E+01  -0.351653E-07   0.615467E-06  -0.351653E-07   0.138041E-08
  2490   0.752776E+02  -0.153811E+01   0.634204E-06  -0.153811E+01   0.272885E+01  -0.360331E-07   0.634204E-06  -0.360331E-07   0.137938E-08
  2491   0.749639E+02  -0.154502E+01   0.652294E-06  -0.154502E+01   0.274137E+01  -0.368429E-07   0.652294E-06  -0.368429E-07   0.137835E-08
  2492   0.746518E+02  -0.155303E+01   0.669687E-06  -0.155303E+01   0.275386E+01  -0.375916E-07   0.669687E-06  -0.375916E-07   0.137732E-08
  2493   0.743419E+02  -0.156214E+01   0.686334E-06  -0.156214E+01   0.276632E+01  -0.382762E-07   0.686334E-06  -0.382762E-07   0.137630E-08
  2494   0.740346E+02  -0.157233E+01   0.702184E-06  -0.157233E+01   0.277874E+01  -0.388936E-07   0.702184E-06  -0.388936E-07   0.137527E-08
  2495   0.737296E+02  -0.158359E+01   0.717188E-06  -0.158359E+01   0.279112E+01  -0.394409E-07   0.717188E-06  -0.394409E-07   0.137425E-08
  2496   0.734272E+02  -0.159591E+01   0.731295E-06  -0.159591E+01   0.280345E+01  -0.399150E-07   0.731295E-06  -0.399150E-07   0.137323E-08
  2497   0.731272E+02  -0.160927E+01   0.744456E-06  -0.160927E+01   0.281572E+01  -0.403129E-07   0.744456E-06  -0.403129E-07   0.137220E-08
  2498   0.728298E+02  -0.162367E+01   0.756621E-06  -0.162367E+01   0.282793E+01  -0.406316E-07   0.756621E-06  -0.406316E-07   0.137118E-08
  2499   0.725350E+02  -0.163908E+01   0.767739E-06  -0.163908E+01   0.284006E+01  -0.408680E-07   0.767739E-06  -0.408680E-07   0.137016E-08
  2500   0.722429E+02  -0.165550E+01   0.777762E-06  -0.165550E+01   0.285211E+01  -0.410193E-07   0.777762E-06  -0.410193E-07   0.136915E-08
  2501   0.719534E+02  -0.167290E+01   0.786652E-06  -0.167290E+01   0.286407E+01  -0.410833E-07   0.786652E-06  -0.410833E-07   0.136813E-08
  2502   0.716668E+02  -0.169127E+01   0.794429E-06  -0.169127E+01   0.287594E+01  -0.410623E-07   0.794429E-06  -0.410623E-07   0.136711E-08
  2503   0.713829E+02  -0.171061E+01   0.801126E-06  -0.171061E+01   0.288770E+01  -0.409596E-07   0.801126E-06  -0.409596E-07   0.136610E-08
  2504   0.711018E+02  -0.173090E+01   0.806775E-06  -0.173090E+01   0.289935E+01  -0.407786E-07   0.806775E-06  -0.407786E-07   0.136508E-08
  2505   0.708236E+02  -0.175210E+01   0.811410E-06  -0.175210E+01   0.291089E+01  -0.405225E-07   0.811410E-06  -0.405225E-07   0.136407E-08
  2506   0.705483E+02  -0.177422E+01   0.815062E-06  -0.177422E+01   0.292231E+01  -0.401946E-07   0.815062E-06  -0.401946E-07   0.136306E-08
  2507   0.702760E+02  -0.179723E+01   0.817766E-06  -0.179723E+01   0.293360E+01  -0.397981E-07   0.817766E-06  -0.397981E-07   0.136204E-08
  2508   0.700068E+02  -0.182112E+01   0.819552E-06  -0.182112E+01   0.294476E+01  -0.393365E-07   0.819552E-06  -0.393365E-07   0.136103E-08
  2509   0.697405E+02  -0.184588E+01   0.820455E-06  -0.184588E+01   0.295578E+01  -0.388129E-07   0.820455E-06  -0.388129E-07   0.136002E-08
  2510   0.694773E+02  -0.187147E+01   0.820508E-06  -0.187147E+01   0.296665E+01  -0.382307E-07   0.820508E-06  -0.382307E-07   0.135902E-08
  2511   0.692173E+02  -0.189789E+01   0.819742E-06  -0.189789E+01   0.297738E+01  -0.375932E-07   0.819742E-06  -0.375932E-07   0.135801E-08
  2512   0.689604E+02  -0.192511E+01   0.818191E-06  -0.192511E+01   0.298794E+01  -0.369036E-07   0.818191E-06  -0.369036E-07   0.135700E-08
  2513   0.687067E+02  -0.195313E+01   0.815887E-06  -0.195313E+01   0.299834E+01  -0.361652E-07   0.815887E-06  -0.361652E-07   0.135600E-08
  2514   0.684562E+02  -0.198192E+01   0.812864E-06  -0.198192E+01   0.300858E+01  -0.353814E-07   0.812864E-06  -0.353814E-07   0.135499E-08
  2515   0.682090E+02  -0.201146E+01   0.809154E-06  -0.201146E+01   0.301864E+01  -0.345554E-07   0.809154E-06  -0.345554E-07   0.135399E-08
