#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   118   0.328566E+04  -0.346939E+02   0.300051E-03  -0.346939E+02   0.100280E+01  -0.958711E-06   0.300051E-03  -0.958711E-06   0.908878E-07
   119   0.331978E+04  -0.352810E+02   0.296862E-03  -0.352810E+02   0.101264E+01  -0.975922E-06   0.296862E-03  -0.975922E-06   0.903326E-07
   120   0.335399E+04  -0.358586E+02   0.293722E-03  -0.358586E+02   0.102210E+01  -0.994610E-06   0.293722E-03  -0.994610E-06   0.897815E-07
   121   0.338829E+04  -0.364261E+02   0.290629E-03  -0.364261E+02   0.103115E+01  -0.101443E-05   0.290629E-03  -0.101443E-05   0.892344E-07
   122   0.342267E+04  -0.369831E+02   0.287584E-03  -0.369831E+02   0.103980E+01  -0.103503E-05   0.287584E-03  -0.103503E-05   0.886914E-07
   123   0.345711E+04  -0.375289E+02   0.284587E-03  -0.375289E+02   0.104803E+01  -0.105608E-05   0.284587E-03  -0.105608E-05   0.881525E-07
   124   0.349162E+04  -0.380629E+02   0.281639E-03  -0.380629E+02   0.105584E+01  -0.107722E-05   0.281639E-03  -0.107722E-05   0.876177E-07
   125   0.352617E+04  -0.385847E+02   0.278740E-03  -0.385847E+02   0.106321E+01  -0.109811E-05   0.278740E-03  -0.109811E-05   0.870869E-07
   126   0.356078E+04  -0.390937E+02   0.275889E-03  -0.390937E+02   0.107013E+01  -0.111840E-05   0.275889E-03  -0.111840E-05   0.865602E-07
   127   0.359541E+04  -0.395894E+02   0.273087E-03  -0.395894E+02   0.107661E+01  -0.113775E-05   0.273087E-03  -0.113775E-05   0.860376E-07
   128   0.363007E+04  -0.400712E+02   0.270334E-03  -0.400712E+02   0.108263E+01  -0.115581E-05   0.270334E-03  -0.115581E-05   0.855190E-07
   129   0.366475E+04  -0.405387E+02   0.267631E-03  -0.405387E+02   0.108818E+01  -0.117224E-05   0.267631E-03  -0.117224E-05   0.850045E-07
   130   0.369944E+04  -0.409912E+02   0.264977E-03  -0.409912E+02   0.109326E+01  -0.118669E-05   0.264977E-03  -0.118669E-05   0.844941E-07
   131   0.373412E+04  -0.414283E+02   0.262373E-03  -0.414283E+02   0.109786E+01  -0.119889E-05   0.262373E-03  -0.119889E-05   0.839878E-07
   132   0.376880E+04  -0.418494E+02   0.259817E-03  -0.418494E+02   0.110199E+01  -0.120886E-05   0.259817E-03  -0.120886E-05   0.834855E-07
   133   0.380346E+04  -0.422542E+02   0.257307E-03  -0.422542E+02   0.110562E+01  -0.121670E-05   0.257307E-03  -0.121670E-05   0.829872E-07
   134   0.383810E+04  -0.426421E+02   0.254843E-03  -0.426421E+02   0.110878E+01  -0.122252E-05   0.254843E-03  -0.122252E-05   0.824929E-07
   135   0.387271E+04  -0.430127E+02   0.252423E-03  -0.430127E+02   0.111143E+01  -0.122641E-05   0.252423E-03  -0.122641E-05   0.820025E-07
   136   0.390728E+04  -0.433654E+02   0.250045E-03  -0.433654E+02   0.111360E+01  -0.122847E-05   0.250045E-03  -0.122847E-05   0.815161E-07
   137   0.394180E+04  -0.436998E+02   0.247707E-03  -0.436998E+02   0.111527E+01  -0.122880E-05   0.247707E-03  -0.122880E-05   0.810336E-07
   138   0.397627E+04  -0.440155E+02   0.245409E-03  -0.440155E+02   0.111645E+01  -0.122750E-05   0.245409E-03  -0.122750E-05   0.805550E-07
   139   0.401067E+04  -0.443121E+02   0.243148E-03  -0.443121E+02   0.111713E+01  -0.122467E-05   0.243148E-03  -0.122467E-05   0.800802E-07
