#    L    TT             EE             TE             PP             TP          
   186   0.537525E+04   0.751777E+00  -0.308977E+02   0.284613E+07   0.276130E+04
   187   0.539527E+04   0.742502E+00  -0.299710E+02   0.283154E+07   0.273926E+04
   188   0.541477E+04   0.733594E+00  -0.290182E+02   0.281706E+07   0.271745E+04
   189   0.543376E+04   0.725083E+00  -0.280393E+02   0.280271E+07   0.269584E+04
   190   0.545223E+04   0.717005E+00  -0.270348E+02   0.278847E+07   0.267444E+04
   191   0.547016E+04   0.709391E+00  -0.260048E+02   0.277434E+07   0.265323E+04
   192   0.548756E+04   0.702277E+00  -0.249495E+02   0.276032E+07   0.263222E+04
   193   0.550441E+04   0.695695E+00  -0.238692E+02   0.274642E+07   0.261139E+04
   194   0.552071E+04   0.689681E+00  -0.227643E+02   0.273263E+07   0.259075E+04
   195   0.553646E+04   0.684270E+00  -0.216350E+02   0.271894E+07   0.257028E+04
   196   0.555165E+04   0.679499E+00  -0.204818E+02   0.270537E+07   0.254999E+04
   197   0.556629E+04   0.675405E+00  -0.193051E+02   0.269190E+07   0.252985E+04
   198   0.558037E+04   0.672023E+00  -0.181051E+02   0.267854E+07   0.250988E+04
   199   0.559388E+04   0.669389E+00  -0.168821E+02   0.266528E+07   0.249005E+04
   200   0.560682E+04   0.667538E+00  -0.156367E+02   0.265212E+07   0.247038E+04
   201   0.561919E+04   0.666509E+00  -0.143692E+02   0.263906E+07   0.245084E+04
   202   0.563097E+04   0.666337E+00  -0.130800E+02   0.262611E+07   0.243145E+04
   203   0.564214E+04   0.667058E+00  -0.117695E+02   0.261326E+07   0.241219E+04
   204   0.565272E+04   0.668711E+00  -0.104381E+02   0.260050E+07   0.239308E+04
   205   0.566267E+04   0.671331E+00  -0.908634E+01   0.258785E+07   0.237410E+04
   206   0.567199E+04   0.674954E+00  -0.771451E+01   0.257529E+07   0.235526E+04
   207   0.568068E+04   0.679618E+00  -0.632303E+01   0.256283E+07   0.233655E+04
   208   0.568873E+04   0.685360E+00  -0.491249E+01   0.255046E+07   0.231798E+04
   209   0.569616E+04   0.692215E+00  -0.348342E+01   0.253819E+07   0.229955E+04
   210   0.570296E+04   0.700221E+00  -0.203638E+01   0.252602E+07   0.228125E+04
   211   0.570914E+04   0.709414E+00  -0.571926E+00   0.251394E+07   0.226308E+04
   212   0.571471E+04   0.719831E+00   0.909389E+00   0.250195E+07   0.224504E+04
   213   0.571967E+04   0.731509E+00   0.240701E+01   0.249005E+07   0.222713E+04
   214   0.572404E+04   0.744485E+00   0.392038E+01   0.247825E+07   0.220936E+04
   215   0.572780E+04   0.758789E+00   0.544892E+01   0.246653E+07   0.219171E+04
   216   0.573096E+04   0.774465E+00   0.699202E+01   0.245491E+07   0.217419E+04
   217   0.573349E+04   0.791544E+00   0.854908E+01   0.244337E+07   0.215680E+04
   218   0.573541E+04   0.810056E+00   0.101196E+02   0.243192E+07   0.213954E+04
   219   0.573671E+04   0.830044E+00   0.117029E+02   0.242056E+07   0.212240E+04
   220   0.573738E+04   0.851539E+00   0.132984E+02   0.240928E+07   0.210539E+04
   221   0.573742E+04   0.874571E+00   0.149054E+02   0.239809E+07   0.208850E+04
   222   0.573683E+04   0.899183E+00   0.165235E+02   0.238699E+07   0.207174E+04
   223   0.573560E+04   0.925398E+00   0.181518E+02   0.237597E+07   0.205510E+04
