#    L    TT             EE             BB             TE             PP             TP             EP          
   167   0.490742E+04   0.957274E+00   0.000000E+00  -0.433562E+02   0.682409E-07   0.190209E-03  -0.863482E-06
   168   0.493567E+04   0.946701E+00   0.000000E+00  -0.429488E+02   0.678665E-07   0.188602E-03  -0.847526E-06
   169   0.496356E+04   0.935963E+00   0.000000E+00  -0.425139E+02   0.674952E-07   0.187013E-03  -0.831624E-06
   170   0.499108E+04   0.925078E+00   0.000000E+00  -0.420514E+02   0.671270E-07   0.185442E-03  -0.815797E-06
   171   0.501822E+04   0.914073E+00   0.000000E+00  -0.415613E+02   0.667618E-07   0.183887E-03  -0.800067E-06
   172   0.504499E+04   0.902971E+00   0.000000E+00  -0.410435E+02   0.663998E-07   0.182351E-03  -0.784456E-06
   173   0.507136E+04   0.891795E+00   0.000000E+00  -0.404980E+02   0.660407E-07   0.180831E-03  -0.768986E-06
   174   0.509733E+04   0.880567E+00   0.000000E+00  -0.399248E+02   0.656846E-07   0.179329E-03  -0.753679E-06
   175   0.512289E+04   0.869324E+00   0.000000E+00  -0.393239E+02   0.653315E-07   0.177844E-03  -0.738557E-06
   176   0.514803E+04   0.858080E+00   0.000000E+00  -0.386954E+02   0.649814E-07   0.176376E-03  -0.723636E-06
   177   0.517274E+04   0.846872E+00   0.000000E+00  -0.380391E+02   0.646342E-07   0.174924E-03  -0.708911E-06
   178   0.519701E+04   0.835724E+00   0.000000E+00  -0.373553E+02   0.642899E-07   0.173489E-03  -0.694370E-06
   179   0.522083E+04   0.824657E+00   0.000000E+00  -0.366439E+02   0.639485E-07   0.172070E-03  -0.680001E-06
   180   0.524421E+04   0.813709E+00   0.000000E+00  -0.359050E+02   0.636099E-07   0.170666E-03  -0.665793E-06
   181   0.526712E+04   0.802909E+00   0.000000E+00  -0.351389E+02   0.632741E-07   0.169278E-03  -0.651735E-06
   182   0.528957E+04   0.792287E+00   0.000000E+00  -0.343455E+02   0.629411E-07   0.167904E-03  -0.637814E-06
   183   0.531154E+04   0.781865E+00   0.000000E+00  -0.335250E+02   0.626109E-07   0.166546E-03  -0.624019E-06
   184   0.533304E+04   0.771681E+00   0.000000E+00  -0.326778E+02   0.622834E-07   0.165201E-03  -0.610340E-06
   185   0.535404E+04   0.761771E+00   0.000000E+00  -0.318036E+02   0.619586E-07   0.163870E-03  -0.596763E-06
   186   0.537455E+04   0.752158E+00   0.000000E+00  -0.309028E+02   0.616364E-07   0.162553E-03  -0.583278E-06
   187   0.539456E+04   0.742873E+00   0.000000E+00  -0.299756E+02   0.613170E-07   0.161249E-03  -0.569873E-06
   188   0.541406E+04   0.733955E+00   0.000000E+00  -0.290222E+02   0.610001E-07   0.159958E-03  -0.556537E-06
   189   0.543304E+04   0.725436E+00   0.000000E+00  -0.280429E+02   0.606858E-07   0.158680E-03  -0.543258E-06
   190   0.545150E+04   0.717350E+00   0.000000E+00  -0.270378E+02   0.603741E-07   0.157413E-03  -0.530025E-06
   191   0.546943E+04   0.709729E+00   0.000000E+00  -0.260073E+02   0.600650E-07   0.156159E-03  -0.516825E-06
   192   0.548682E+04   0.702607E+00   0.000000E+00  -0.249514E+02   0.597583E-07   0.154916E-03  -0.503649E-06
   193   0.550366E+04   0.696019E+00   0.000000E+00  -0.238706E+02   0.594541E-07   0.153684E-03  -0.490483E-06
   194   0.551996E+04   0.690000E+00   0.000000E+00  -0.227651E+02   0.591524E-07   0.152463E-03  -0.477317E-06
   195   0.553570E+04   0.684585E+00   0.000000E+00  -0.216353E+02   0.588531E-07   0.151253E-03  -0.464140E-06
   196   0.555089E+04   0.679811E+00   0.000000E+00  -0.204815E+02   0.585562E-07   0.150052E-03  -0.450939E-06
   197   0.556552E+04   0.675714E+00   0.000000E+00  -0.193042E+02   0.582616E-07   0.148862E-03  -0.437703E-06
   198   0.557960E+04   0.672331E+00   0.000000E+00  -0.181036E+02   0.579694E-07   0.147681E-03  -0.424420E-06
   199   0.559310E+04   0.669696E+00   0.000000E+00  -0.168800E+02   0.576796E-07   0.146509E-03  -0.411080E-06
   200   0.560604E+04   0.667846E+00   0.000000E+00  -0.156341E+02   0.573920E-07   0.145346E-03  -0.397671E-06
   201   0.561840E+04   0.666818E+00   0.000000E+00  -0.143659E+02   0.571066E-07   0.144191E-03  -0.384183E-06
   202   0.563017E+04   0.666648E+00   0.000000E+00  -0.130762E+02   0.568235E-07   0.143045E-03  -0.370618E-06
   203   0.564134E+04   0.667374E+00   0.000000E+00  -0.117651E+02   0.565427E-07   0.141907E-03  -0.356978E-06
   204   0.565191E+04   0.669031E+00   0.000000E+00  -0.104331E+02   0.562640E-07   0.140777E-03  -0.343266E-06
   205   0.566186E+04   0.671657E+00   0.000000E+00  -0.908072E+01   0.559875E-07   0.139656E-03  -0.329486E-06
   206   0.567118E+04   0.675287E+00   0.000000E+00  -0.770830E+01   0.557132E-07   0.138542E-03  -0.315641E-06
   207   0.567986E+04   0.679960E+00   0.000000E+00  -0.631621E+01   0.554410E-07   0.137437E-03  -0.301734E-06
   208   0.568790E+04   0.685711E+00   0.000000E+00  -0.490506E+01   0.551710E-07   0.136340E-03  -0.287768E-06
   209   0.569533E+04   0.692576E+00   0.000000E+00  -0.347538E+01   0.549031E-07   0.135251E-03  -0.273746E-06
   210   0.570212E+04   0.700594E+00   0.000000E+00  -0.202774E+01   0.546372E-07   0.134170E-03  -0.259672E-06
   211   0.570830E+04   0.709801E+00   0.000000E+00  -0.562675E+00   0.543735E-07   0.133097E-03  -0.245548E-06
   212   0.571387E+04   0.720232E+00   0.000000E+00   0.919250E+00   0.541118E-07   0.132032E-03  -0.231377E-06
   213   0.571883E+04   0.731926E+00   0.000000E+00   0.241748E+01   0.538521E-07   0.130975E-03  -0.217163E-06
   214   0.572319E+04   0.744918E+00   0.000000E+00   0.393146E+01   0.535944E-07   0.129925E-03  -0.202909E-06
   215   0.572695E+04   0.759240E+00   0.000000E+00   0.546061E+01   0.533388E-07   0.128883E-03  -0.188618E-06
   216   0.573010E+04   0.774936E+00   0.000000E+00   0.700432E+01   0.530851E-07   0.127849E-03  -0.174292E-06
   217   0.573263E+04   0.792036E+00   0.000000E+00   0.856199E+01   0.528334E-07   0.126822E-03  -0.159936E-06
   218   0.573454E+04   0.810570E+00   0.000000E+00   0.101331E+02   0.525836E-07   0.125803E-03  -0.145552E-06
   219   0.573584E+04   0.830581E+00   0.000000E+00   0.117170E+02   0.523358E-07   0.124792E-03  -0.131144E-06
   220   0.573650E+04   0.852101E+00   0.000000E+00   0.133131E+02   0.520898E-07   0.123788E-03  -0.116714E-06
   221   0.573654E+04   0.875159E+00   0.000000E+00   0.149207E+02   0.518458E-07   0.122791E-03  -0.102265E-06
   222   0.573595E+04   0.899799E+00   0.000000E+00   0.165394E+02   0.516036E-07   0.121802E-03  -0.878014E-07
   223   0.573472E+04   0.926043E+00   0.000000E+00   0.181684E+02   0.513633E-07   0.120820E-03  -0.733254E-07
   224   0.573287E+04   0.953929E+00   0.000000E+00   0.198070E+02   0.511248E-07   0.119845E-03  -0.588405E-07
   225   0.573040E+04   0.983479E+00   0.000000E+00   0.214546E+02   0.508881E-07   0.118877E-03  -0.443495E-07
   226   0.572730E+04   0.101474E+01   0.000000E+00   0.231105E+02   0.506532E-07   0.117917E-03  -0.298558E-07
   227   0.572357E+04   0.104773E+01   0.000000E+00   0.247741E+02   0.504201E-07   0.116964E-03  -0.153624E-07
   228   0.571922E+04   0.108249E+01   0.000000E+00   0.264447E+02   0.501888E-07   0.116017E-03  -0.872359E-09
   229   0.571426E+04   0.111905E+01   0.000000E+00   0.281215E+02   0.499592E-07   0.115078E-03   0.136111E-07
   230   0.570867E+04   0.115743E+01   0.000000E+00   0.298040E+02   0.497313E-07   0.114146E-03   0.280849E-07
